Subfamily,Genus Name Pub,Species Name Pub,Status,Exotic,Island Name,Island Group,Archipelago,Biogeographic realm,Lat,Long
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Okino-shima,-,-,Temperate Northern Pacific,32.727604,132.554912
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Jinoshima,-,Tomogashima,Temperate Northern Pacific,33.375024,132.355403
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Togashima,-,-,Temperate Northern Pacific,26.188553,127.356214
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Izu Oshima,-,Izu Islands,Temperate Northern Pacific,34.794057,139.364519
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,To,-,Izu Islands,Temperate Northern Pacific,34.522303,139.279106
Ponerinae,Hypoponera,nippona,Land + Island,Native,Amami-Oshima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.311807,129.426562
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Shikine,-,Izu Islands,Temperate Northern Pacific,34.220003,134.612355
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Miyake,-,Izu Islands,Temperate Northern Pacific,34.084866,139.521121
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Mikura-jima,-,Izu Islands,Temperate Northern Pacific,33.874735,139.603227
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Hachijo-jima,-,Izu Islands,Temperate Northern Pacific,33.106333,139.798228
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Chichi-jima,Chichi-jima Group,Ogasawara Islands,Temperate Northern Pacific,34.647149,134.51091
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Haha-jima,Haha-jima Group,Ogasawara Islands,Central Indo-Pacific,26.667203,142.157199
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Yakushima,Osumi Islands,Satsunan Islands,Temperate Northern Pacific,30.339135,130.522252
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Amami-Oshima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.311807,129.426562
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Okinawa,-,Okinawa Islands,Temperate Northern Pacific,26.517553,127.96582
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Izena-jima,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.933249,127.936596
Ponerinae,Hypoponera,nippona,Land + Island,Native,Tokuno-shima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,27.773461,128.948928
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Henza-jima,-,Okinawa Islands,Temperate Northern Pacific,26.342162,127.958717
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Yabuchijima,-,Okinawa Islands,Temperate Northern Pacific,26.318615,127.9232373
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Hamahiga,-,Okinawa Islands,Temperate Northern Pacific,26.319881,127.958071
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Kudaka,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.161523,127.894221
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Tsuken,Yokatsu Islands,Okinawa Islands,Temperate Northern Pacific,26.252339,127.941502
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Tokashiki-jima,Kerama Islands,Okinawa Islands,Temperate Northern Pacific,26.364512,127.147575
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Kume-jima,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.349982,126.773293
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Miyako-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.774041,125.332376
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Ikema-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.930295,125.243101
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Shimoji-shima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,32.87245,129.033348
Ponerinae,Hypoponera,nippona,Land + Island,Native,Okinawa,-,Okinawa Islands,Temperate Northern Pacific,26.517553,127.96582
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Irabu,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.829506,125.179153
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Kurima-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.237904,124.010534
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Tarama,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.656982,124.699288
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Ishigaki,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.433381,124.205545
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Iriomote,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.335813,123.814688
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Hateruma,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.05851,123.782183
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Yonaguni-jima,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.455253,122.988732
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Uotsuri-jima,-,Senkaku Islands,Temperate Northern Pacific,32.801402,132.489667
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Kamikoshiki-jima,Koshiki Islands,Satsunan Islands,Temperate Northern Pacific,31.845563,129.876943
Ponerinae,Hypoponera,nippona,Land + Island,Native,Miyako-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.774041,125.332376
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Aoshima,-,Kyushu,Temperate Northern Pacific,35.5785395,133.2832876
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Chichi-jima,Chichi-jima Group,Ogasawara Islands,Temperate Northern Pacific,34.647149,134.51091
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Ioujima,-,Volcano Islands,Central Indo-Pacific,24.782506,141.317206
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Minami-Tori-Shima,-,Volcano Islands,Eastern Indo-Pacific,24.287485,153.980651
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Tanegashima,Osumi Islands,Satsunan Islands,Temperate Northern Pacific,30.580814,130.975089
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Yakushima,Osumi Islands,Satsunan Islands,Temperate Northern Pacific,30.339135,130.522252
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Kuchino-shima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.972314,129.922578
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Nakanoshima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.848849,129.871098
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Akuseki-jima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.459413,129.602299
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Takara-jima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.146641,129.207673
Ponerinae,Hypoponera,nippona,Land + Island,Native,Ikema-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.930295,125.243101
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Kikaijiima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.323027,129.97242
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Amami-Oshima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.311807,129.426562
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Kakeromajima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.123869,129.257393
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Tokuno-shima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,27.773461,128.948928
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Okinoerabu-jima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,27.366219,128.600533
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Yoron-jima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,27.042604,128.432407
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Okinawa,-,Okinawa Islands,Temperate Northern Pacific,26.517553,127.96582
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Iwotori-shima,Osumi Islands,Satsunan Islands,Temperate Northern Pacific,33.782704,131.970591
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Izena-jima,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.933249,127.936596
Ponerinae,Hypoponera,nippona,Land + Island,Native,Ishigaki,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.433381,124.205545
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Yabuchijima,-,Okinawa Islands,Temperate Northern Pacific,26.318615,127.9232373
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Sesoko,-,Okinawa Islands,Temperate Northern Pacific,26.643909,127.864001
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Ikeijima,-,Okinawa Islands,Temperate Northern Pacific,27.046358,127.969979
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Henza-jima,-,Okinawa Islands,Temperate Northern Pacific,26.342162,127.958717
Dolichoderinae,Technomyrmex,brunneus,Land + Island,Invasive,Miyagi,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.493709,127.959792
